Ronda,Fecha,Local,Resultado,Visitante,Anio
Round 25,17/02/1985,Murcia,0—2,Hércules,1984-1985
Round 25,17/02/1985,Osasuna,3—0,Valladolid,1984-1985
Round 25,17/02/1985,Real Sociedad,0—0,Barcelona,1984-1985
Round 25,17/02/1985,Zaragoza,0—0,Racing de Santander,1984-1985
Round 26,20/02/1985,Athletic Club,5—0,Osasuna,1984-1985
Round 26,20/02/1985,Barcelona,2—2,Atlético de Madrid,1984-1985
Round 26,20/02/1985,Sporting de Gijón,1—0,Murcia,1984-1985
Round 26,20/02/1985,Hércules,2—0,Valencia,1984-1985
Round 26,20/02/1985,Racing de Santander,1—3,Español,1984-1985
Round 26,20/02/1985,Real Madrid,6—1,Elche,1984-1985
Round 26,20/02/1985,Sevilla,1—0,Betis,1984-1985
Round 26,20/02/1985,Valladolid,1—1,Real Sociedad,1984-1985
Round 26,20/02/1985,Zaragoza,0—0,CD Málaga,1984-1985
Round 27,3/3/1985,Atlético de Madrid,0—0,Sporting de Gijón,1984-1985
Round 27,3/3/1985,Betis,0—2,Athletic Club,1984-1985
Round 27,3/3/1985,Elche,0—0,Zaragoza,1984-1985
Round 27,3/3/1985,Español,2—0,Real Madrid,1984-1985
Round 27,3/3/1985,CD Málaga,1—1,Hércules,1984-1985
Round 27,3/3/1985,Murcia,1—2,Valladolid,1984-1985
Round 27,3/3/1985,Osasuna,0—0,Racing de Santander,1984-1985
Round 27,3/3/1985,Real Sociedad,5—1,Sevilla,1984-1985
Round 27,3/3/1985,Valencia,2—5,Barcelona,1984-1985
Round 28,9/3/1985,Athletic Club,1—0,Murcia,1984-1985
Round 28,9/3/1985,Sporting de Gijón,4—0,Hércules,1984-1985
Round 28,9/3/1985,Racing de Santander,1—0,Real Sociedad,1984-1985
Round 28,10/3/1985,Barcelona,1—0,CD Málaga,1984-1985
Round 28,10/3/1985,Elche,0—3,Español,1984-1985
Round 28,10/3/1985,Real Madrid,3—2,Betis,1984-1985
Round 28,10/3/1985,Sevilla,2—4,Atlético de Madrid,1984-1985
Round 28,10/3/1985,Valladolid,1—0,Valencia,1984-1985
Round 28,10/3/1985,Zaragoza,1—2,Osasuna,1984-1985
Round 29,17/03/1985,Atlético de Madrid,2—0,Valladolid,1984-1985
Round 29,17/03/1985,Betis,1—2,Racing de Santander,1984-1985
Round 29,17/03/1985,Español,3—2,Zaragoza,1984-1985
Round 29,17/03/1985,Hércules,1—0,Barcelona,1984-1985
Round 29,17/03/1985,CD Málaga,0—0,Elche,1984-1985
Round 29,17/03/1985,Murcia,2—0,Sevilla,1984-1985
Round 29,17/03/1985,Osasuna,1—0,Real Madrid,1984-1985
Round 29,17/03/1985,Real Sociedad,1—2,Athletic Club,1984-1985
Round 29,17/03/1985,Valencia,0—2,Sporting de Gijón,1984-1985
Round 30,24/03/1985,Athletic Club,3—2,Valencia,1984-1985
Round 30,24/03/1985,Elche,2—1,Betis,1984-1985
Round 30,24/03/1985,Español,1—0,Osasuna,1984-1985
Round 30,24/03/1985,Sporting de Gijón,2—0,CD Málaga,1984-1985
Round 30,24/03/1985,Racing de Santander,1—2,Atlético de Madrid,1984-1985
Round 30,24/03/1985,Real Madrid,5—0,Murcia,1984-1985
Round 30,24/03/1985,Sevilla,2—0,Hércules,1984-1985
Round 30,24/03/1985,Valladolid,1—2,Barcelona,1984-1985
Round 30,24/03/1985,Zaragoza,1—2,Real Sociedad,1984-1985
Round 31,30/03/1985,Barcelona,2—0,Sporting de Gijón,1984-1985
Round 31,30/03/1985,CD Málaga,1—1,Español,1984-1985
Round 31,30/03/1985,Real Sociedad,0—3,Real Madrid,1984-1985
Round 31,30/03/1985,Valencia,0—0,Sevilla,1984-1985
Round 31,31/03/1985,Atlético de Madrid,0—0,Athletic Club,1984-1985
Round 31,31/03/1985,Betis,2—0,Zaragoza,1984-1985
Round 31,31/03/1985,Hércules,2—1,Valladolid,1984-1985
Round 31,31/03/1985,Murcia,3—1,Racing de Santander,1984-1985
Round 31,31/03/1985,Osasuna,2—2,Elche,1984-1985
Round 32,6/4/1985,Español,0—1,Betis,1984-1985
Round 32,7/4/1985,Athletic Club,4—1,Hércules,1984-1985
Round 32,7/4/1985,Elche,1—1,Real Sociedad,1984-1985
Round 32,7/4/1985,Osasuna,1—0,CD Málaga,1984-1985
Round 32,7/4/1985,Racing de Santander,1—1,Valencia,1984-1985
Round 32,7/4/1985,Real Madrid,0—4,Atlético de Madrid,1984-1985
Round 32,7/4/1985,Sevilla,2—2,Barcelona,1984-1985
Round 32,7/4/1985,Valladolid,0—0,Sporting de Gijón,1984-1985
Round 32,7/4/1985,Zaragoza,3—0,Murcia,1984-1985
Round 33,14/04/1985,Atlético de Madrid,0—1,Zaragoza,1984-1985
Round 33,14/04/1985,Barcelona,0—0,Athletic Club,1984-1985
Round 33,14/04/1985,Betis,3—1,Osasuna,1984-1985
Round 33,14/04/1985,Sporting de Gijón,2—0,Sevilla,1984-1985
Round 33,14/04/1985,Hércules,2—0,Racing de Santander,1984-1985
Round 33,14/04/1985,Murcia,2—1,Elche,1984-1985
Round 33,14/04/1985,Real Sociedad,2—0,Español,1984-1985
Round 33,14/04/1985,Valencia,1—0,Real Madrid,1984-1985
Round 33,14/04/1985,Valladolid,1—1,CD Málaga,1984-1985
Round 34,21/04/1985,Athletic Club,2—0,Sporting de Gijón,1984-1985
Round 34,21/04/1985,Elche,1—0,Atlético de Madrid,1984-1985
Round 34,21/04/1985,Español,1—0,Murcia,1984-1985
Round 34,21/04/1985,CD Málaga,1—1,Betis,1984-1985
Round 34,21/04/1985,Osasuna,1—0,Real Sociedad,1984-1985
Round 34,21/04/1985,Racing de Santander,0—0,Barcelona,1984-1985
Round 34,21/04/1985,Real Madrid,0—1,Hércules,1984-1985
Round 34,21/04/1985,Sevilla,0—2,Valladolid,1984-1985
Round 34,21/04/1985,Zaragoza,2—2,Valencia,1984-1985
Round 1,31/08/1985,Español,5—0,Cádiz,1985-1986
Round 1,31/08/1985,Las Palmas,1—3,Sporting de Gijón,1985-1986
Round 1,31/08/1985,Osasuna,0—1,Athletic Club,1985-1986
Round 1,31/08/1985,Real Sociedad,1—1,Celta de Vigo,1985-1986
Round 1,31/08/1985,Valencia,2—1,Valladolid,1985-1986
Round 1,09/01/1985,Atlético de Madrid,3—0,Sevilla,1985-1986
Round 1,09/01/1985,Betis,2—2,Real Madrid,1985-1986
Round 1,09/01/1985,Racing de Santander,0—0,Barcelona,1985-1986
Round 1,09/01/1985,Zaragoza,1—0,Hércules,1985-1986
Round 2,09/04/1985,Athletic Club,1—1,Las Palmas,1985-1986
Round 2,09/04/1985,Barcelona,2—0,Zaragoza,1985-1986
Round 2,09/04/1985,Cádiz,2—1,Racing de Santander,1985-1986
Round 2,09/04/1985,Celta de Vigo,0—1,Betis,1985-1986
Round 2,09/04/1985,Sporting de Gijón,0—0,Real Sociedad,1985-1986
Round 2,09/04/1985,Hércules,2—2,Atlético de Madrid,1985-1986
Round 2,09/04/1985,Real Madrid,5—0,Valencia,1985-1986
Round 2,09/04/1985,Sevilla,1—0,Osasuna,1985-1986
Round 2,09/04/1985,Valladolid,1—0,Español,1985-1986
Round 3,09/08/1985,Athletic Club,3—1,Sevilla,1985-1986
Round 3,09/08/1985,Atlético de Madrid,2—1,Barcelona,1985-1986
Round 3,09/08/1985,Betis,1—1,Sporting de Gijón,1985-1986
Round 3,09/08/1985,Español,1—2,Real Madrid,1985-1986
Round 3,09/08/1985,Las Palmas,1—2,Real Sociedad,1985-1986
Round 3,09/08/1985,Osasuna,1—0,Hércules,1985-1986
Round 3,09/08/1985,Racing de Santander,1—1,Valladolid,1985-1986
Round 3,09/08/1985,Valencia,3—1,Celta de Vigo,1985-1986
Round 3,09/08/1985,Zaragoza,3—0,Cádiz,1985-1986
Round 4,14/09/1985,Barcelona,2—2,Osasuna,1985-1986
Round 4,14/09/1985,Sporting de Gijón,1—0,Valencia,1985-1986
Round 4,15/09/1985,Cádiz,2—0,Atlético de Madrid,1985-1986
Round 4,15/09/1985,Celta de Vigo,2—1,Español,1985-1986
Round 4,15/09/1985,Hércules,0—1,Athletic Club,1985-1986
Round 4,15/09/1985,Real Sociedad,2—2,Betis,1985-1986
Round 4,15/09/1985,Real Madrid,1—0,Racing de Santander,1985-1986
Round 4,15/09/1985,Sevilla,4—0,Las Palmas,1985-1986
Round 4,15/09/1985,Valladolid,1—1,Zaragoza,1985-1986
Round 5,28/09/1985,Athletic Club,2—1,Barcelona,1985-1986
Round 5,28/09/1985,Atlético de Madrid,1—4,Valladolid,1985-1986
Round 5,28/09/1985,Las Palmas,1—0,Betis,1985-1986
Round 5,28/09/1985,Osasuna,0—0,Cádiz,1985-1986
Round 5,28/09/1985,Valencia,3—1,Real Sociedad,1985-1986
Round 5,29/09/1985,Español,0—0,Sporting de Gijón,1985-1986
Round 5,29/09/1985,Racing de Santander,3—0,Celta de Vigo,1985-1986
Round 5,29/09/1985,Sevilla,0—0,Hércules,1985-1986
Round 5,29/09/1985,Zaragoza,1—1,Real Madrid,1985-1986
Round 6,10/06/1985,Barcelona,0—0,Sevilla,1985-1986
Round 6,10/06/1985,Cádiz,1—1,Athletic Club,1985-1986
Round 6,10/06/1985,Celta de Vigo,1—2,Zaragoza,1985-1986
Round 6,10/06/1985,Sporting de Gijón,2—0,Racing de Santander,1985-1986
Round 6,10/06/1985,Hércules,2—0,Las Palmas,1985-1986
Round 6,10/06/1985,Real Sociedad,1—0,Español,1985-1986
Round 6,10/06/1985,Real Madrid,2—1,Atlético de Madrid,1985-1986
Round 6,10/06/1985,Valladolid,1—0,Osasuna,1985-1986
Round 6,11/07/1985,Betis,0—0,Valencia,1985-1986
Round 7,10/12/1985,Zaragoza,0—0,Sporting de Gijón,1985-1986
Round 7,13/10/1985,Athletic Club,3—3,Valladolid,1985-1986
Round 7,13/10/1985,Atlético de Madrid,3—1,Celta de Vigo,1985-1986
Round 7,13/10/1985,Español,2—0,Betis,1985-1986
Round 7,13/10/1985,Hércules,1—2,Barcelona,1985-1986
Round 7,13/10/1985,Las Palmas,2—0,Valencia,1985-1986
Round 7,13/10/1985,Osasuna,0—1,Real Madrid,1985-1986
Round 7,13/10/1985,Racing de Santander,2—0,Real Sociedad,1985-1986
Round 7,13/10/1985,Sevilla,3—0,Cádiz,1985-1986
Round 8,19/10/1985,Celta de Vigo,2—0,Osasuna,1985-1986
Round 8,19/10/1985,Sporting de Gijón,1—1,Atlético de Madrid,1985-1986
Round 8,19/10/1985,Valencia,0—0,Español,1985-1986
Round 8,20/10/1985,Betis,1—1,Racing de Santander,1985-1986
Round 8,20/10/1985,Cádiz,2—0,Hércules,1985-1986
Round 8,20/10/1985,Real Sociedad,2—0,Zaragoza,1985-1986
Round 8,20/10/1985,Real Madrid,2—0,Athletic Club,1985-1986
Round 8,20/10/1985,Valladolid,2—0,Sevilla,1985-1986
Round 8,27/11/1985,Barcelona,3—1,Las Palmas,1985-1986
Round 9,26/10/1985,Atlético de Madrid,3—1,Real Sociedad,1985-1986
Round 9,27/10/1985,Athletic Club,3—1,Celta de Vigo,1985-1986
Round 9,27/10/1985,Barcelona,1—0,Cádiz,1985-1986
Round 9,27/10/1985,Hércules,1—0,Valladolid,1985-1986
Round 9,27/10/1985,Las Palmas,3—1,Español,1985-1986
Round 9,27/10/1985,Osasuna,1—2,Sporting de Gijón,1985-1986
Round 9,27/10/1985,Racing de Santander,2—2,Valencia,1985-1986
Round 9,27/10/1985,Sevilla,2—2,Real Madrid,1985-1986
Round 9,27/10/1985,Zaragoza,1—1,Betis,1985-1986
Round 10,11/02/1985,Real Sociedad,1—0,Osasuna,1985-1986
Round 10,11/02/1985,Real Madrid,4—0,Hércules,1985-1986
Round 10,11/03/1985,Betis,2—2,Atlético de Madrid,1985-1986
Round 10,11/03/1985,Cádiz,1—0,Las Palmas,1985-1986
Round 10,11/03/1985,Celta de Vigo,1—2,Sevilla,1985-1986
Round 10,11/03/1985,Español,2—0,Racing de Santander,1985-1986
Round 10,11/03/1985,Sporting de Gijón,1—0,Athletic Club,1985-1986
Round 10,11/03/1985,Valencia,4—2,Zaragoza,1985-1986
Round 10,11/03/1985,Valladolid,2—2,Barcelona,1985-1986
Round 11,11/09/1985,Barcelona,2—0,Real Madrid,1985-1986
Round 11,11/10/1985,Athletic Club,2—0,Real Sociedad,1985-1986
Round 11,11/10/1985,Atlético de Madrid,5—0,Valencia,1985-1986
Round 11,11/10/1985,Cádiz,1—0,Valladolid,1985-1986
Round 11,11/10/1985,Hércules,5—2,Celta de Vigo,1985-1986
Round 11,11/10/1985,Las Palmas,1—0,Racing de Santander,1985-1986
Round 11,11/10/1985,Osasuna,1—0,Betis,1985-1986
Round 11,11/10/1985,Sevilla,0—0,Sporting de Gijón,1985-1986
Round 11,11/10/1985,Zaragoza,1—0,Español,1985-1986
Round 12,16/11/1985,Español,1—2,Atlético de Madrid,1985-1986
Round 12,17/11/1985,Betis,2—0,Athletic Club,1985-1986
Round 12,17/11/1985,Celta de Vigo,0—2,Barcelona,1985-1986
Round 12,17/11/1985,Sporting de Gijón,3—1,Hércules,1985-1986
Round 12,17/11/1985,Racing de Santander,2—3,Zaragoza,1985-1986
Round 12,17/11/1985,Real Sociedad,1—0,Sevilla,1985-1986
Round 12,17/11/1985,Real Madrid,3—1,Cádiz,1985-1986
Round 12,17/11/1985,Valencia,1—1,Osasuna,1985-1986
Round 12,17/11/1985,Valladolid,4—2,Las Palmas,1985-1986
Round 13,23/11/1985,Athletic Club,2—2,Valencia,1985-1986
Round 13,23/11/1985,Barcelona,2—0,Sporting de Gijón,1985-1986
Round 13,23/11/1985,Las Palmas,2—2,Zaragoza,1985-1986
Round 13,24/11/1985,Atlético de Madrid,2—0,Racing de Santander,1985-1986
Round 13,24/11/1985,Cádiz,1—0,Celta de Vigo,1985-1986
Round 13,24/11/1985,Hércules,2—0,Real Sociedad,1985-1986
Round 13,24/11/1985,Osasuna,2—0,Español,1985-1986
Round 13,24/11/1985,Sevilla,1—0,Betis,1985-1986
Round 13,24/11/1985,Valladolid,3—2,Real Madrid,1985-1986
Round 14,12/01/1985,Betis,1—0,Hércules,1985-1986
Round 14,12/01/1985,Celta de Vigo,3—2,Valladolid,1985-1986
Round 14,12/01/1985,Español,1—0,Athletic Club,1985-1986
Round 14,12/01/1985,Sporting de Gijón,2—2,Cádiz,1985-1986
Round 14,12/01/1985,Racing de Santander,1—0,Osasuna,1985-1986
Round 14,12/01/1985,Real Sociedad,1—5,Barcelona,1985-1986
Round 14,12/01/1985,Real Madrid,5—1,Las Palmas,1985-1986
Round 14,12/01/1985,Valencia,0—1,Sevilla,1985-1986
Round 14,12/01/1985,Zaragoza,0—0,Atlético de Madrid,1985-1986
Round 15,12/07/1985,Athletic Club,3—0,Racing de Santander,1985-1986
Round 15,12/07/1985,Real Madrid,4—0,Celta de Vigo,1985-1986
Round 15,12/07/1985,Valladolid,0—1,Sporting de Gijón,1985-1986
Round 15,12/08/1985,Barcelona,1—2,Betis,1985-1986
Round 15,12/08/1985,Cádiz,3—0,Real Sociedad,1985-1986
Round 15,12/08/1985,Hércules,3—2,Valencia,1985-1986
Round 15,12/08/1985,Las Palmas,1—3,Atlético de Madrid,1985-1986
Round 15,12/08/1985,Osasuna,2—1,Zaragoza,1985-1986
Round 15,12/08/1985,Sevilla,1—1,Español,1985-1986
Round 16,15/12/1985,Atlético de Madrid,1—0,Osasuna,1985-1986
Round 16,15/12/1985,Betis,4—1,Cádiz,1985-1986
Round 16,15/12/1985,Español,4—1,Hércules,1985-1986
Round 16,15/12/1985,Sporting de Gijón,0—2,Real Madrid,1985-1986
Round 16,15/12/1985,Las Palmas,1—1,Celta de Vigo,1985-1986
Round 16,15/12/1985,Racing de Santander,1—0,Sevilla,1985-1986
Round 16,15/12/1985,Real Sociedad,2—1,Valladolid,1985-1986
Round 16,15/12/1985,Valencia,1—2,Barcelona,1985-1986
Round 16,15/12/1985,Zaragoza,0—1,Athletic Club,1985-1986
Round 17,22/12/1985,Athletic Club,1—1,Atlético de Madrid,1985-1986
Round 17,22/12/1985,Barcelona,0—0,Español,1985-1986
Round 17,22/12/1985,Cádiz,2—3,Valencia,1985-1986
Round 17,22/12/1985,Celta de Vigo,1—1,Sporting de Gijón,1985-1986
Round 17,22/12/1985,Hércules,1—0,Racing de Santander,1985-1986
Round 17,22/12/1985,Osasuna,0—1,Las Palmas,1985-1986
Round 17,22/12/1985,Real Madrid,1—0,Real Sociedad,1985-1986
Round 17,22/12/1985,Sevilla,0—0,Zaragoza,1985-1986
Round 17,22/12/1985,Valladolid,4—2,Betis,1985-1986
Round 18,29/12/1985,Athletic Club,2—0,Osasuna,1985-1986
Round 18,29/12/1985,Barcelona,2—0,Racing de Santander,1985-1986
Round 18,29/12/1985,Cádiz,0—0,Español,1985-1986
Round 18,29/12/1985,Celta de Vigo,1—3,Real Sociedad,1985-1986
Round 18,29/12/1985,Sporting de Gijón,1—0,Las Palmas,1985-1986
Round 18,29/12/1985,Hércules,2—2,Zaragoza,1985-1986
Round 18,29/12/1985,Real Madrid,4—1,Betis,1985-1986
Round 18,29/12/1985,Sevilla,2—1,Atlético de Madrid,1985-1986
Round 18,29/12/1985,Valladolid,3—3,Valencia,1985-1986
Round 19,01/04/1986,Las Palmas,2—2,Athletic Club,1985-1986
Round 19,01/05/1986,Atlético de Madrid,1—0,Hércules,1985-1986
Round 19,01/05/1986,Betis,3—2,Celta de Vigo,1985-1986
Round 19,01/05/1986,Español,2—1,Valladolid,1985-1986
Round 19,01/05/1986,Osasuna,0—0,Sevilla,1985-1986
Round 19,01/05/1986,Racing de Santander,3—0,Cádiz,1985-1986
Round 19,01/05/1986,Real Sociedad,2—1,Sporting de Gijón,1985-1986
Round 19,01/05/1986,Valencia,0—3,Real Madrid,1985-1986
Round 19,01/05/1986,Zaragoza,1—3,Barcelona,1985-1986
Round 20,01/11/1986,Barcelona,2—1,Atlético de Madrid,1985-1986
Round 20,01/12/1986,Cádiz,1—3,Zaragoza,1985-1986
Round 20,01/12/1986,Celta de Vigo,1—0,Valencia,1985-1986
Round 20,01/12/1986,Sporting de Gijón,0—0,Betis,1985-1986
Round 20,01/12/1986,Hércules,1—1,Osasuna,1985-1986
Round 20,01/12/1986,Real Sociedad,6—0,Las Palmas,1985-1986
Round 20,01/12/1986,Real Madrid,4—1,Español,1985-1986
Round 20,01/12/1986,Sevilla,0—0,Athletic Club,1985-1986
Round 20,01/12/1986,Valladolid,1—0,Racing de Santander,1985-1986
Round 21,18/01/1986,Valencia,1—1,Sporting de Gijón,1985-1986
Round 21,19/01/1986,Athletic Club,1—0,Hércules,1985-1986
Round 21,19/01/1986,Atlético de Madrid,2—1,Cádiz,1985-1986
Round 21,19/01/1986,Betis,1—3,Real Sociedad,1985-1986
Round 21,19/01/1986,Español,1—0,Celta de Vigo,1985-1986
Round 21,19/01/1986,Las Palmas,2—5,Sevilla,1985-1986
Round 21,19/01/1986,Osasuna,0—1,Barcelona,1985-1986
Round 21,19/01/1986,Racing de Santander,1—1,Real Madrid,1985-1986
Round 21,19/01/1986,Zaragoza,1—0,Valladolid,1985-1986
Round 22,26/01/1986,Barcelona,3—1,Athletic Club,1985-1986
Round 22,26/01/1986,Betis,1—1,Las Palmas,1985-1986
Round 22,26/01/1986,Cádiz,2—0,Osasuna,1985-1986
Round 22,26/01/1986,Celta de Vigo,1—2,Racing de Santander,1985-1986
Round 22,26/01/1986,Sporting de Gijón,1—1,Español,1985-1986
Round 22,26/01/1986,Hércules,2—1,Sevilla,1985-1986
Round 22,26/01/1986,Real Sociedad,6—0,Valencia,1985-1986
Round 22,26/01/1986,Real Madrid,1—0,Zaragoza,1985-1986
Round 22,26/01/1986,Valladolid,2—1,Atlético de Madrid,1985-1986
Round 23,02/01/1986,Español,2—2,Real Sociedad,1985-1986
Round 23,02/01/1986,Las Palmas,2—1,Hércules,1985-1986
Round 23,02/02/1986,Athletic Club,2—0,Cádiz,1985-1986
Round 23,02/02/1986,Atlético de Madrid,0—1,Real Madrid,1985-1986
Round 23,02/02/1986,Osasuna,2—1,Valladolid,1985-1986
Round 23,02/02/1986,Sevilla,0—0,Barcelona,1985-1986
Round 23,02/02/1986,Valencia,0—2,Betis,1985-1986
Round 23,02/02/1986,Zaragoza,6—0,Celta de Vigo,1985-1986
Round 23,26/02/1986,Racing de Santander,0—1,Sporting de Gijón,1985-1986
Round 24,02/08/1986,Barcelona,3—1,Hércules,1985-1986
Round 24,02/09/1986,Betis,1—0,Español,1985-1986
Round 24,02/09/1986,Cádiz,0—4,Sevilla,1985-1986
Round 24,02/09/1986,Celta de Vigo,0—1,Atlético de Madrid,1985-1986
Round 24,02/09/1986,Sporting de Gijón,2—2,Zaragoza,1985-1986
Round 24,02/09/1986,Real Sociedad,1—1,Racing de Santander,1985-1986
Round 24,02/09/1986,Real Madrid,2—0,Osasuna,1985-1986
Round 24,02/09/1986,Valencia,1—1,Las Palmas,1985-1986
Round 24,02/09/1986,Valladolid,0—1,Athletic Club,1985-1986
Round 25,16/02/1986,Athletic Club,1—2,Real Madrid,1985-1986
Round 25,16/02/1986,Atlético de Madrid,1—1,Sporting de Gijón,1985-1986
Round 25,16/02/1986,Español,2—1,Valencia,1985-1986
Round 25,16/02/1986,Hércules,1—1,Cádiz,1985-1986
Round 25,16/02/1986,Las Palmas,3—0,Barcelona,1985-1986
Round 25,16/02/1986,Osasuna,2—1,Celta de Vigo,1985-1986
Round 25,16/02/1986,Racing de Santander,1—1,Betis,1985-1986
Round 25,16/02/1986,Sevilla,1—0,Valladolid,1985-1986
Round 25,16/02/1986,Zaragoza,3—1,Real Sociedad,1985-1986
Round 26,22/02/1986,Real Sociedad,2—3,Atlético de Madrid,1985-1986
Round 26,23/02/1986,Betis,0—1,Zaragoza,1985-1986
Round 26,23/02/1986,Cádiz,1—3,Barcelona,1985-1986
Round 26,23/02/1986,Celta de Vigo,0—1,Athletic Club,1985-1986
Round 26,23/02/1986,Español,2—0,Las Palmas,1985-1986
Round 26,23/02/1986,Sporting de Gijón,1—2,Osasuna,1985-1986
Round 26,23/02/1986,Real Madrid,2—1,Sevilla,1985-1986
Round 26,23/02/1986,Valencia,0—1,Racing de Santander,1985-1986
Round 26,23/02/1986,Valladolid,3—1,Hércules,1985-1986
Round 27,03/01/1986,Barcelona,4—0,Valladolid,1985-1986
Round 27,03/01/1986,Las Palmas,2—2,Cádiz,1985-1986
Round 27,03/02/1986,Athletic Club,2—0,Sporting de Gijón,1985-1986
Round 27,03/02/1986,Atlético de Madrid,2—1,Betis,1985-1986
Round 27,03/02/1986,Hércules,0—3,Real Madrid,1985-1986
Round 27,03/02/1986,Osasuna,1—2,Real Sociedad,1985-1986
Round 27,03/02/1986,Racing de Santander,2—2,Español,1985-1986
Round 27,03/02/1986,Sevilla,2—1,Celta de Vigo,1985-1986
Round 27,03/02/1986,Zaragoza,2—1,Valencia,1985-1986
Round 28,03/08/1986,Real Madrid,3—1,Barcelona,1985-1986
Round 28,03/09/1986,Betis,1—0,Osasuna,1985-1986
Round 28,03/09/1986,Celta de Vigo,1—2,Hércules,1985-1986
Round 28,03/09/1986,Español,1—2,Zaragoza,1985-1986
Round 28,03/09/1986,Sporting de Gijón,2—1,Sevilla,1985-1986
Round 28,03/09/1986,Racing de Santander,0—0,Las Palmas,1985-1986
Round 28,03/09/1986,Real Sociedad,1—0,Athletic Club,1985-1986
Round 28,03/09/1986,Valencia,1—1,Atlético de Madrid,1985-1986
Round 28,03/09/1986,Valladolid,3—0,Cádiz,1985-1986
Round 29,15/03/1986,Athletic Club,2—1,Betis,1985-1986
Round 29,15/03/1986,Barcelona,1—1,Celta de Vigo,1985-1986
Round 29,15/03/1986,Las Palmas,1—0,Valladolid,1985-1986
Round 29,16/03/1986,Atlético de Madrid,2—0,Español,1985-1986
Round 29,16/03/1986,Cádiz,1—3,Real Madrid,1985-1986
Round 29,16/03/1986,Hércules,0—1,Sporting de Gijón,1985-1986
Round 29,16/03/1986,Osasuna,2—0,Valencia,1985-1986
Round 29,16/03/1986,Sevilla,3—1,Real Sociedad,1985-1986
Round 29,16/03/1986,Zaragoza,1—0,Racing de Santander,1985-1986
Round 30,22/03/1986,Español,0—1,Osasuna,1985-1986
Round 30,23/03/1986,Betis,1—0,Sevilla,1985-1986
Round 30,23/03/1986,Celta de Vigo,1—2,Cádiz,1985-1986
Round 30,23/03/1986,Sporting de Gijón,1—1,Barcelona,1985-1986
Round 30,23/03/1986,Racing de Santander,2—0,Atlético de Madrid,1985-1986
Round 30,23/03/1986,Real Sociedad,6—0,Hércules,1985-1986
Round 30,23/03/1986,Real Madrid,2—1,Valladolid,1985-1986
Round 30,23/03/1986,Valencia,1—2,Athletic Club,1985-1986
Round 30,23/03/1986,Zaragoza,4—0,Las Palmas,1985-1986
Round 31,29/03/1986,Atlético de Madrid,0—2,Zaragoza,1985-1986
Round 31,29/03/1986,Barcelona,2—3,Real Sociedad,1985-1986
Round 31,29/03/1986,Las Palmas,4—3,Real Madrid,1985-1986
Round 31,30/03/1986,Athletic Club,1—0,Español,1985-1986
Round 31,30/03/1986,Cádiz,0—0,Sporting de Gijón,1985-1986
Round 31,30/03/1986,Hércules,2—3,Betis,1985-1986
Round 31,30/03/1986,Osasuna,1—1,Racing de Santander,1985-1986
Round 31,30/03/1986,Sevilla,0—2,Valencia,1985-1986
Round 31,30/03/1986,Valladolid,4—0,Celta de Vigo,1985-1986
Round 32,04/05/1986,Racing de Santander,0—0,Athletic Club,1985-1986
Round 32,04/06/1986,Atlético de Madrid,1—0,Las Palmas,1985-1986
Round 32,04/06/1986,Betis,1—1,Barcelona,1985-1986
Round 32,04/06/1986,Celta de Vigo,1—5,Real Madrid,1985-1986
Round 32,04/06/1986,Español,4—2,Sevilla,1985-1986
Round 32,04/06/1986,Sporting de Gijón,3—0,Valladolid,1985-1986
Round 32,04/06/1986,Real Sociedad,4—0,Cádiz,1985-1986
Round 32,04/06/1986,Valencia,3—1,Hércules,1985-1986
Round 32,04/06/1986,Zaragoza,1—1,Osasuna,1985-1986
Round 33,04/12/1986,Barcelona,3—0,Valencia,1985-1986
Round 33,04/12/1986,Real Madrid,2—1,Sporting de Gijón,1985-1986
Round 33,13/04/1986,Athletic Club,1—1,Zaragoza,1985-1986
Round 33,13/04/1986,Cádiz,0—0,Betis,1985-1986
Round 33,13/04/1986,Celta de Vigo,4—0,Las Palmas,1985-1986
Round 33,13/04/1986,Hércules,1—1,Español,1985-1986
Round 33,13/04/1986,Osasuna,1—1,Atlético de Madrid,1985-1986
Round 33,13/04/1986,Sevilla,0—1,Racing de Santander,1985-1986
Round 33,13/04/1986,Valladolid,4—1,Real Sociedad,1985-1986
Round 34,19/04/1986,Las Palmas,0—0,Osasuna,1985-1986
Round 34,20/04/1986,Atlético de Madrid,3—1,Athletic Club,1985-1986
Round 34,20/04/1986,Betis,1—1,Valladolid,1985-1986
Round 34,20/04/1986,Español,5—3,Barcelona,1985-1986
Round 34,20/04/1986,Sporting de Gijón,2—0,Celta de Vigo,1985-1986
Round 34,20/04/1986,Racing de Santander,4—1,Hércules,1985-1986
Round 34,20/04/1986,Real Sociedad,5—3,Real Madrid,1985-1986
Round 34,20/04/1986,Valencia,1—0,Cádiz,1985-1986
Round 34,20/04/1986,Zaragoza,1—1,Sevilla,1985-1986
Round 1,30/08/1986,Barcelona,2—0,Racing de Santander,1986-1987
Round 1,30/08/1986,Sporting de Gijón,2—0,Athletic Club,1986-1987
Round 1,30/08/1986,Las Palmas,2—0,Valladolid,1986-1987
Round 1,31/08/1986,Atlético de Madrid,1—1,Español,1986-1987
Round 1,31/08/1986,Betis,1—0,Sabadell,1986-1987
Round 1,31/08/1986,Murcia,1—3,Real Madrid,1986-1987
